(0)15-019;Tismi BV
(0)1511;Telekom Deutschland GmbH
(0)1512;Telekom Deutschland GmbH
(0)1514;Telekom Deutschland GmbH
(0)1515;Telekom Deutschland GmbH
(0)1516;Telekom Deutschland GmbH
(0)1517;Telekom Deutschland GmbH
(0)1520;Vodafone GmbH
(0)1521;Lycamobile Europe Ltd.
(0)1522;Vodafone GmbH
(0)1523;Vodafone GmbH
(0)1525;Vodafone GmbH
(0)1526;Vodafone GmbH
(0)1529;Vodafone GmbH (Netznutzungsvereinbarung mit Fa. Truphone GmbH ehemals Fa. Tru GmbH)
(0)15-566;Drillisch Online AG
(0)15-630;multiConnect GmbH
(0)15-678;Argon Networks UG
(0)1570;Telefónica Germany GmbH & Co. OHG (zur Nutzung im Rahmen einer Netznutzungsvereinbarung), (ehem. E-Plus Mobilfunk GmbH)
(0)1573;Telefónica Germany GmbH & Co. OHG (ehem. E-Plus Mobilfunk GmbH)
(0)1575;Telefónica Germany GmbH & Co. OHG (ehem. E-Plus Mobilfunk GmbH)
(0)1577;Telefónica Germany GmbH & Co. OHG (ehem. E-Plus Mobilfunk GmbH)
(0)1578;Telefónica Germany GmbH & Co. OHG (ehem. E-Plus Mobilfunk GmbH)
(0)1579;Telefónica Germany GmbH & Co. OHG (Netznutzungsvereinbarung mit Fa. Sipgate Wireless GmbH zuvor Fa. Vintage Wireless Networks Gesellschaft für Telekommunikation mbH), (ehem. E-Plus-Mobilfunk GmbH)
(0)15-888;TelcoVillage GmbH
(0)1590;Telefónica Germany GmbH & Co. OHG
(0)160;Telekom Deutschland GmbH
(0)162;Vodafone GmbH
(0)163;Telefónica Germany GmbH & Co. OHG (ehem. E-Plus Mobilfunk GmbH)
(0)170;Telekom Deutschland GmbH
(0)171;Telekom Deutschland GmbH
(0)172;Vodafone GmbH
(0)173;Vodafone GmbH
(0)174;Vodafone GmbH
(0)175;Telekom Deutschland GmbH
(0)176;Telefónica Germany GmbH & Co. OHG
(0)177;Telefónica Germany GmbH & Co. OHG (ehem. E-Plus Mobilfunk GmbH)
(0)178;Telefónica Germany GmbH & Co. OHG (ehem. E-Plus Mobilfunk GmbH)
(0)179;Telefónica Germany GmbH & Co. OHG
(0)151;Telekom Deutschland GmbH
(0)152;Vodafone GmbH
(0)157;E-Plus Mobilfunk GmbH
(0)159;Telefónica Germany GmbH & Co. OHG
